Instance,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Label
2960,137.2519531,36.15795151,146.7949219,37.89658695,153.5810547,37.16474189,2276.131309,37.85568418,0.027711903,0.001095215,0.033091957,0.17736471,2
2961,138.3330078,35.48513449,148.21875,37.67401033,155.3603516,37.26630346,2175.254756,36.91563963,0.02916607,0.001092641,0.033053223,0.204351699,2
2962,135.9072266,34.91935724,145.4462891,36.83942996,152.1650391,36.5330692,2061.097758,35.58977465,0.032409519,0.001087327,0.032973296,0.20401741,2
2963,138.5839844,35.15435797,147.9941406,37.20285876,154.7041016,36.83781683,2057.054907,35.60015609,0.030372627,0.001086752,0.032964713,0.22900947,2
2964,138.5136719,36.68866864,147.8798828,38.96560765,154.90625,38.5760587,2288.785941,37.97713157,0.026561648,0.001081805,0.032888001,0.223404119,2
2965,138.5136719,36.68866864,147.8798828,38.96560765,154.90625,38.5760587,2288.785941,37.97713157,0.026561648,0.001081805,0.032888001,0.223404119,2
2966,138.1884766,36.11473448,147.8251953,37.90373433,154.7089844,37.13837718,2250.592799,37.63479611,0.028003418,0.00109579,0.033100484,0.188557046,2
2967,138.5322266,34.69305891,148.2910156,36.68655873,155.2519531,36.36419239,2032.113041,35.28029884,0.033119572,0.001090984,0.033028716,0.211536646,2
2968,137.3300781,35.50655245,146.9111328,37.64706726,153.7822266,37.24727911,2242.5695,37.57816565,0.028479376,0.001090476,0.033020815,0.183008856,2
2969,138.7470703,36.71059073,148.5595703,38.87073387,155.7167969,38.19460694,2343.068947,38.38863326,0.027604509,0.001076049,0.03280041,0.194953675,2
2970,135.1787109,37.92882798,144.3896484,40.35907593,151.0332031,40.05692813,2436.159827,39.2667794,0.026085382,0.001078556,0.032838959,0.226526794,2
2971,136.3388672,35.73433624,145.8134766,37.9173311,152.5917969,37.57260382,2255.936679,37.73991123,0.0279822,0.001088885,0.032996687,0.184462748,2
2972,134.7119141,36.52955266,143.8857422,39.10304935,150.484375,39.13487982,2286.393129,38.01781998,0.027965704,0.001087261,0.032972217,0.229553773,2
2973,138.5839844,35.15435797,147.9941406,37.20285876,154.7041016,36.83781683,2057.054907,35.60015609,0.030372627,0.001086752,0.032964713,0.22900947,2
2974,138.3408203,34.46627164,148.2714844,36.36977152,155.3183594,35.91708951,1990.933191,34.87267495,0.03406575,0.001091525,0.033036788,0.214139826,2
2975,138.3798828,36.06934004,148.1015625,37.92866245,155.0625,37.22416785,2225.11722,37.41259918,0.028550119,0.001095248,0.033092595,0.197421143,2
2976,134.7119141,36.52955266,143.8857422,39.10304935,150.484375,39.13487982,2286.393129,38.01781998,0.027965704,0.001087261,0.032972217,0.229553773,2
2977,138.8769531,36.47120675,148.6240234,38.69184458,155.7988281,38.10671383,2325.943126,38.23320434,0.027243119,0.00107859,0.032839398,0.193989581,2
2978,137.7548828,34.62110024,147.5732422,36.55687065,154.5576172,36.15270619,2027.004471,35.25892625,0.033132682,0.001092033,0.03304458,0.208219242,2
2979,138.6855469,35.97504487,148.359375,38.01163666,155.4394531,37.39185247,2193.606359,37.07400332,0.027276172,0.001092741,0.033054134,0.204064874,2
2980,137.7705078,35.95601519,146.6289063,38.81283948,152.5322266,38.24000248,2275.338791,37.5566955,0.027504507,0.001083571,0.03291664,0.214298139,2
